City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Constitución,100,CL,1632287564,80,-35.3333,-72.4167,52.83,6.44
Castro,100,BR,1632287564,95,-24.7911,-50.0119,54.91,9.75
Manokwari,32,ID,1632287564,69,-0.8667,134.0833,83.23,4.41
Muros,14,ES,1632287565,80,42.7762,-9.0603,61.99,14.63
Saldanha,6,ZA,1632287565,53,-33.0117,17.9442,54.72,9.17
Ust'-Omchug,68,RU,1632287566,70,61.15,149.6333,43.77,4.85
Hong Kong,39,HK,1632287312,69,22.2855,114.1577,91.96,1.99
Dikson,99,RU,1632287566,83,73.5069,80.5464,33.6,0.94
Lata,0,PT,1632287567,66,40.1629,-8.3327,64.08,6.62
Esperance,0,AU,1632287567,35,-33.8667,121.9,74.14,4.25
Kruisfontein,5,ZA,1632287567,79,-34.0033,24.7314,49.37,4.76
Cidreira,94,BR,1632287475,73,-30.1811,-50.2056,59.61,7.83
Baykit,100,RU,1632287568,93,61.67,96.37,37.62,6.26
Ancud,0,CL,1632287568,91,-41.8697,-73.8203,42.42,0.51
Ushuaia,90,AR,1632287406,87,-54.8,-68.3,42.46,14.97
Khatanga,100,RU,1632287569,96,71.9667,102.5,34.5,14.32
Balancán,92,MX,1632287569,92,17.8,-91.5333,75.34,3.04
Faanui,15,PF,1632287570,69,-16.4833,-151.75,78.98,3.2
Shājāpur,68,IN,1632287570,87,23.4333,76.2667,77.85,9.17
Lebu,71,CL,1632287571,82,-37.6167,-73.65,50.27,3.91
Amalāpuram,100,IN,1632287571,63,16.5833,82.0167,84.58,7.63
Strezhevoy,60,RU,1632287572,81,60.7333,77.5889,33.78,8.7
São João da Barra,42,BR,1632287572,77,-21.6403,-41.0511,70.66,28.95
Kenai,1,US,1632287572,38,60.5544,-151.2583,43.14,12.66
Bengkulu,50,ID,1632287573,70,-3.8004,102.2655,83.64,8.99
Micheweni,6,TZ,1632287573,77,-4.9667,39.8333,77.72,7.87
Miles City,1,US,1632287574,50,46.4083,-105.8406,56.52,8.05
Poum,85,NC,1632287574,70,-20.2333,164.0167,75.61,11.48
Basco,45,PH,1632287575,76,20.4487,121.9702,84.81,12.93
Zaranj,0,AF,1632287575,16,30.9667,61.8833,84.27,18.72
Havøysund,87,NO,1632287575,76,70.9963,24.6622,45.48,40.89
Kavieng,73,PG,1632287576,72,-2.5744,150.7967,84.27,9.71
Penzance,66,GB,1632287577,86,50.1186,-5.5371,56.41,3.22
Airai,90,TL,1632287578,52,-8.9266,125.4092,69.13,6.91
Flinders,8,AU,1632287578,53,-34.5833,150.8552,67.21,8.99
Los Llanos de Aridane,90,ES,1632287578,79,28.6585,-17.9182,69.55,12.66
Lavrentiya,94,RU,1632287579,65,65.5833,-171.0,32.49,11.14
Yellowknife,90,CA,1632287333,100,62.456,-114.3525,46.92,9.22
Sitka,90,US,1632287579,58,57.0531,-135.33,53.49,16.11
Kununurra,90,AU,1632287362,12,-15.7667,128.7333,84.18,13.8
Manicoré,42,BR,1632287580,73,-5.8092,-61.3003,76.1,2.19
Kamenka,92,RU,1632287580,81,51.3223,42.7678,51.98,3.85
Fortuna,1,US,1632287581,63,40.5982,-124.1573,63.52,0.0
Cheremshan,100,RU,1632287581,46,54.6667,51.5,51.39,14.36
Port Elizabeth,1,ZA,1632287582,78,-33.918,25.5701,53.56,7.47
Acapulco de Juárez,52,MX,1632287313,86,16.8634,-99.8901,79.9,5.14
Grand Gaube,6,MU,1632287582,54,-20.0064,57.6608,75.38,7.0
Tuktoyaktuk,100,CA,1632287582,72,69.4541,-133.0374,35.96,17.6
Arraial do Cabo,94,BR,1632287583,79,-22.9661,-42.0278,69.24,26.46
Katsuura,87,JP,1632287583,80,35.1333,140.3,82.51,16.62
Asău,100,RO,1632287584,83,46.4333,26.4,47.75,4.34
Novopokrovka,88,UA,1632287584,87,49.8425,36.5477,44.98,7.16
Waterloo,90,CA,1632287381,100,43.4668,-80.5164,68.47,13.8
Mosquera,75,CO,1632287409,94,4.7059,-74.2302,53.69,6.91
Kaitangata,5,NZ,1632287585,66,-46.2817,169.8464,53.33,5.46
De-Kastri,100,RU,1632287585,51,51.4667,140.7833,56.08,12.93
Olafsvik,78,IS,1632287586,75,64.8945,-23.7142,38.79,1.66
Lagoa,0,PT,1632287586,80,39.05,-27.9833,69.98,16.64
Axum,15,ET,1632287587,68,14.1245,38.7244,65.25,3.02
Todos Santos,100,MX,1632287587,90,23.45,-110.2167,83.01,3.58
Hualmay,69,PE,1632287588,88,-11.0964,-77.6139,61.43,10.2
Taltal,1,CL,1632287588,84,-25.4,-70.4833,55.33,3.44
Bredasdorp,0,ZA,1632287588,93,-34.5322,20.0403,47.41,5.19
Saint-Pierre,0,RE,1632287589,58,-21.3393,55.4781,74.88,2.3
Mossamedes,7,AO,1632287589,91,-15.1961,12.1522,60.78,4.32
Mareeba,71,AU,1632287590,48,-17.0,145.4333,76.44,8.37
Tessalit,9,ML,1632287590,14,20.1986,1.0114,84.67,8.25
Aklavik,100,CA,1632287591,82,68.2191,-135.0107,32.65,7.63
Moscow,100,RU,1632287363,94,55.7522,37.6156,43.03,6.96
Adrar,2,MR,1632287591,21,20.5022,-10.0711,81.73,12.5
Duluth,1,US,1632287317,85,46.7833,-92.1066,53.35,1.01
Jalu,0,LY,1632287592,30,29.0331,21.5482,79.36,6.98
Zhangjiakou,0,CN,1632287592,42,40.81,114.8794,70.65,2.48
Roquetas de Mar,56,ES,1632287593,62,36.7642,-2.6148,73.4,12.24
Mersing,71,MY,1632287593,60,2.4312,103.8405,87.75,6.89
Saskylakh,100,RU,1632287594,94,71.9167,114.0833,36.36,11.03
Dunedin,7,NZ,1632287344,75,-45.8742,170.5036,51.96,11.74
Pandan,99,PH,1632287594,71,14.0453,124.1694,85.53,3.71
Port Hedland,71,AU,1632287595,7,-20.3167,118.5667,96.85,13.8
Hīt,0,IQ,1632287595,27,33.6416,42.8251,85.75,19.86
Itupiranga,86,BR,1632287595,73,-5.1347,-49.3267,80.92,3.51
Amapá,83,BR,1632287596,99,1.0,-52.0,70.14,0.76
Makakilo City,20,US,1632287596,65,21.3469,-158.0858,79.12,4.61
Daru,66,PG,1632287597,83,-9.0763,143.2092,79.47,14.32
Nikolskoye,98,RU,1632287597,79,59.7035,30.7861,44.49,6.44
Makaha,20,US,1632287598,73,21.4694,-158.2175,80.51,8.05
Gigmoto,94,PH,1632287598,66,13.7796,124.39,86.79,5.91
Luganville,37,VU,1632287598,75,-15.5333,167.1667,80.94,6.96
Poltár,100,SK,1632287599,77,48.4309,19.7941,47.88,2.53
Kiama,7,AU,1632287599,53,-34.6833,150.8667,67.37,9.95
Heraclea,1,TR,1632287600,67,37.5133,34.0467,62.67,3.49
Porto-Novo,100,BJ,1632287600,90,6.4965,2.6036,76.14,3.85
Rocha,41,UY,1632287601,72,-34.4833,-54.3333,52.34,4.83
Kumul,85,CN,1632287601,20,42.8,93.45,76.41,6.04
Broome,40,US,1632287602,85,42.2506,-75.833,66.02,4.0
Batagay,97,RU,1632287602,50,67.6333,134.6333,47.08,2.59
Vaini,40,TO,1632287602,83,-21.2,-175.2,75.36,10.36
Innisfail,84,AU,1632287603,47,-17.5333,146.0333,69.57,11.07
Cabo San Lucas,99,MX,1632287414,83,22.8909,-109.9124,83.52,6.11
Kapra,90,IN,1632287603,100,17.4846,78.561,77.7,3.44
Xinzhi,98,CN,1632287604,32,36.4989,111.7047,85.48,1.45
Verkhnevilyuysk,100,RU,1632287604,60,63.4453,120.3167,53.13,3.96
Dolores Hidalgo Cuna de la Independencia Nacional,58,MX,1632287605,86,21.1561,-100.9308,66.65,7.43
Meulaboh,100,ID,1632287605,70,4.1363,96.1285,82.58,1.9
Mezen',2,RU,1632287606,80,65.8522,44.24,36.86,3.8
Srednekolymsk,83,RU,1632287606,34,67.45,153.6833,40.55,7.56
Leh,61,IN,1632287606,48,34.1667,77.5833,56.32,5.46
Port Blair,90,IN,1632287607,100,11.6667,92.75,77.04,11.5
Santa Isabel Rio Negro,96,BR,1632287607,96,-0.4139,-65.0192,73.22,2.13
Leningradskiy,95,RU,1632287608,85,69.3833,178.4167,23.97,7.76
Sobolevo,100,RU,1632287608,97,54.4299,31.8996,40.89,9.04
Pinega,7,RU,1632287608,79,64.7001,43.3936,36.68,3.18
Bethel,90,US,1632287609,91,41.3712,-73.414,70.38,0.0
Raja,87,SS,1632287609,96,8.4596,25.678,68.56,2.93
Nanortalik,100,GL,1632287610,73,60.1432,-45.2371,36.93,9.89
Ocland,100,RO,1632287610,74,46.1667,25.4167,37.65,0.56
Narsaq,100,GL,1632287611,62,60.9167,-46.05,35.82,7.74
Sistranda,99,NO,1632287611,81,63.7256,8.834,57.9,14.2
Carnarvon,52,AU,1632287612,29,-24.8667,113.6333,80.67,11.5
Fügen,98,AT,1632287612,79,47.35,11.85,52.12,1.59
Havre-St-Pierre,100,CA,1632287612,85,50.2334,-63.5986,54.39,5.37
Mandalī,0,IQ,1632287613,18,33.7499,45.5541,86.61,6.04
Vao,51,NC,1632287613,73,-22.6667,167.4833,72.7,5.08
Custoias,0,PT,1632287614,78,41.1053,-7.321,52.2,5.5
Hella,75,NO,1632287614,77,67.2,14.4333,53.74,17.27
Darhan,99,MN,1632287614,63,49.4867,105.9228,52.75,10.63
Ochamchira,100,GE,1632287615,95,42.7121,41.4721,63.54,1.36
Campbell River,100,CA,1632287615,96,50.0163,-125.2446,54.27,3.42
Zaykovo,81,RU,1632287616,79,57.5613,62.7568,39.56,4.38
Caravelas,6,BR,1632287616,93,-17.7125,-39.2481,71.35,3.09
Clyde River,54,CA,1632287616,78,70.4692,-68.5914,27.09,5.39
Ekibastuz,73,KZ,1632287617,55,51.6667,75.3667,45.03,11.54
Khovd,0,MN,1632287617,32,48.0056,91.6419,48.94,9.08
Chui,95,UY,1632287618,81,-33.6971,-53.4616,54.86,7.9
Ouro Sogui,75,SN,1632287618,76,15.6064,-13.3211,82.63,13.15
Avera,16,US,1632287618,96,33.194,-82.5271,76.87,3.74
Zeya,12,RU,1632287619,29,53.75,127.2667,63.95,2.08
Matara,64,LK,1632287619,67,5.9485,80.5353,86.4,11.99
Cayenne,75,GF,1632287620,81,4.9333,-52.3333,83.08,1.01
Buraidah,13,SA,1632287620,18,26.326,43.975,84.11,3.89
Yabassi,100,CM,1632287621,99,4.457,9.9682,72.66,0.85
Christchurch,40,NZ,1632287443,77,-43.5333,172.6333,55.9,11.01
Aktas,10,KZ,1632287621,48,49.7789,72.9608,44.35,3.22
Nouadhibou,0,MR,1632287622,83,20.931,-17.0347,70.77,18.01
Maiduguri,100,NG,1632287622,82,11.8464,13.1603,75.43,5.01
Hafizabad,39,PK,1632287469,61,32.0679,73.6854,88.11,8.08
Vammala,88,FI,1632287623,90,61.3333,22.9,33.3,3.29
Conceição da Barra,26,BR,1632287623,82,-18.5933,-39.7322,74.97,14.07
Halkirk,97,CA,1632287623,36,52.2834,-112.1518,56.55,10.6
Miyako,4,JP,1632287624,66,39.6367,141.9525,81.07,8.57
Marsaxlokk,40,MT,1632287624,83,35.8419,14.5431,77.61,13.8
Suntar,100,RU,1632287625,87,62.1444,117.6319,43.68,9.22
Morón,0,AR,1632287625,77,-34.6534,-58.6198,54.99,1.01
Marzuq,70,YE,1632287625,39,14.4,46.4667,83.82,0.87
Russell,90,US,1632287626,93,32.3502,-85.1999,74.97,0.0
Houma,0,US,1632287627,90,29.5958,-90.7195,78.8,5.32
Ossora,100,RU,1632287627,86,59.2353,163.0719,49.53,6.42
Vila,2,PT,1632287628,86,42.0304,-8.1588,54.48,3.98
Suket,14,IN,1632287628,75,24.65,76.0333,83.05,4.99
Dingle,89,PH,1632287628,68,10.9995,122.6711,86.23,5.37
Upernavik,100,GL,1632287629,56,72.7868,-56.1549,19.99,5.82
Tacuatí,95,PY,1632287629,80,-23.45,-56.5833,66.81,4.47
Kavaratti,89,IN,1632287630,79,10.5669,72.642,82.09,17.54
Whyalla,19,AU,1632287630,56,-33.0333,137.5833,62.02,7.38
Kozova,100,UA,1632287631,87,49.4354,25.1509,44.08,9.73
Gerāsh,0,IR,1632287631,26,27.6652,54.1371,86.18,3.98
Tabas,4,IR,1632287631,13,33.5959,56.9244,86.65,2.3
Saint-Augustin,97,CA,1632287431,85,51.226,-58.6502,54.0,12.39
Ambilobe,17,MG,1632287632,47,-13.2,49.05,79.7,2.98
Sechura,48,PE,1632287632,85,-5.5569,-80.8222,63.77,10.51
Coyah,98,GN,1632287633,95,9.75,-13.4167,77.45,1.16
Samaná,94,DO,1632287633,93,19.2056,-69.3369,77.77,1.14
Amazar,57,RU,1632287634,49,53.858,120.875,64.92,8.81
Oruzgan,0,AF,1632287412,9,32.8333,66.0,77.54,1.03
Macusani,100,PE,1632287634,77,-14.0833,-70.4333,36.73,1.01
Nome,40,US,1632287635,56,64.5011,-165.4064,35.67,6.91
Tres Arroyos,0,AR,1632287635,88,-38.3739,-60.2798,42.55,9.15
Bac Lieu,92,VN,1632287375,65,9.285,105.7244,86.88,11.18
Oodweyne,18,SO,1632287636,44,9.4092,45.064,78.15,20.56
Rāpar,96,IN,1632287636,62,23.5667,70.6333,86.14,13.67
Senanga,85,ZM,1632287636,23,-16.1167,23.2667,69.26,6.8
Bonthe,77,SL,1632287637,86,7.5264,-12.505,77.36,4.21
Gaoual,74,GN,1632287637,97,11.75,-13.2,74.08,1.99
Shenjiamen,1,CN,1632287638,64,29.9576,122.298,81.07,2.48
Qui Nhon,65,VN,1632287460,77,13.7667,109.2333,83.34,3.36
Boueni,27,YT,1632287638,73,-12.9025,45.0761,78.78,10.74
Eirunepé,84,BR,1632287420,97,-6.6603,-69.8736,72.75,1.59
Berlevåg,20,NO,1632287639,65,70.8578,29.0864,40.95,25.32
Yambio,76,SS,1632287640,95,4.5721,28.3955,67.89,2.04
Lima,75,PE,1632287536,87,-12.0432,-77.0282,58.39,9.22
Buala,30,SB,1632287640,73,-8.145,159.5921,83.32,3.49
Cape Canaveral,1,US,1632287641,92,28.4058,-80.6048,77.99,0.0
Tateyama,85,JP,1632287641,82,34.9833,139.8667,82.42,15.79
Truth or Consequences,1,US,1632287641,31,33.1284,-107.2528,70.03,6.91
Tuatapere,12,NZ,1632287642,60,-46.1333,167.6833,53.82,2.8
La Rioja,100,ES,1632287642,88,42.25,-2.5,48.49,2.55
Gravdal,90,NO,1632287643,93,68.1214,13.5031,51.69,29.93
Kirakira,16,SB,1632287643,74,-10.4544,161.9205,82.83,5.23
Hay River,2,CA,1632287644,90,60.8156,-115.7999,47.71,6.13
Kopavogur,98,IS,1632287644,70,64.1123,-21.913,39.42,9.89
Sabang,100,ID,1632287645,74,5.8933,95.3214,82.22,21.7
Ahwa,97,IN,1632287645,84,20.75,73.6833,77.22,8.12
Alice Springs,12,AU,1632287646,15,-23.7,133.8833,67.55,17.27
Egvekinot,11,RU,1632287646,72,66.3167,-179.1667,22.86,5.17
Broken Hill,74,AU,1632287646,42,-31.95,141.4333,62.56,12.91
Wagar,60,SD,1632287647,61,16.1525,36.2032,82.31,14.88
Hambantota,18,LK,1632287647,62,6.1241,81.1185,88.56,17.49
Sioux Lookout,21,CA,1632287648,74,50.1001,-91.917,44.35,4.41
Richards Bay,100,ZA,1632287648,70,-28.783,32.0377,62.82,7.14
Chāndur,100,IN,1632287649,79,19.7333,79.1833,82.58,7.61
Torbay,0,CA,1632287649,88,47.6666,-52.7314,58.26,5.01
Half Moon Bay,1,US,1632287649,72,37.4636,-122.4286,78.24,0.0
Nyurba,99,RU,1632287650,74,63.2842,118.3319,47.84,6.78
Qaqortoq,100,GL,1632287650,72,60.7167,-46.0333,36.1,8.7
Nova Granada,3,BR,1632287651,70,-20.5339,-49.3142,67.69,17.63
Kulhudhuffushi,38,MV,1632287651,76,6.6221,73.07,83.32,16.44
High Level,100,CA,1632287652,74,58.5169,-117.136,52.57,5.59
Pitimbu,16,BR,1632287653,84,-7.4706,-34.8086,73.99,4.32
Dvinskoy,11,RU,1632287654,73,62.1535,45.1175,38.03,5.95
Harper,69,LR,1632287654,88,4.375,-7.7169,76.68,6.85
Padang,91,ID,1632287655,66,-0.9492,100.3543,85.26,6.31
Tigre,20,AR,1632287655,75,-34.426,-58.5796,55.24,9.22
Alyangula,73,AU,1632287656,49,-13.8483,136.4192,78.1,19.1
Akdepe,7,TM,1632287656,16,42.0551,59.3788,62.6,12.66
Yar-Sale,100,RU,1632287656,97,66.8333,70.8333,37.9,12.1
São Francisco,87,BR,1632287657,34,-15.9486,-44.8644,81.77,3.38
Huarmey,96,PE,1632287657,89,-10.0681,-78.1522,62.29,8.99
Sept-Îles,96,CA,1632287658,95,50.2001,-66.3821,53.06,3.87
Manyana,1,BW,1632287658,13,-23.4,21.7167,55.83,7.38
Umluj,63,SA,1632287659,62,25.0213,37.2685,86.63,2.89
Tanete,99,ID,1632287659,71,-3.9443,119.7848,79.86,7.61
Deputatsky,100,RU,1632287659,59,69.3,139.9,37.15,1.45
Hervey Bay,1,AU,1632287660,54,-25.2986,152.8535,73.51,23.0
Batemans Bay,15,AU,1632287660,52,-35.7167,150.1833,60.91,7.67
Stornoway,75,GB,1632287661,94,58.2093,-6.3865,56.93,11.5
North Bend,1,US,1632287661,90,43.4065,-124.2243,58.86,4.61
Kasongo-Lunda,12,CD,1632287662,80,-6.4667,16.8167,72.48,2.68
Juneau,90,US,1632287662,91,58.3019,-134.4197,48.85,4.61
Praia,20,CV,1632287662,83,14.9215,-23.5087,77.54,16.11
Antsohihy,77,MG,1632287663,46,-14.8796,47.9875,78.46,6.4
Beihai,90,CN,1632287663,72,21.4833,109.1,85.87,9.55
Anchorage,1,US,1632287457,43,61.2181,-149.9003,42.85,1.01
Vanino,100,RU,1632287664,95,49.0869,140.2543,50.45,11.23
Bulgan,97,MN,1632287664,70,48.8125,103.5347,47.88,5.5
Doha,0,QA,1632287665,37,25.2867,51.5333,93.18,8.05
Rafaela,38,AR,1632287665,56,-31.2503,-61.4867,52.05,3.0
Palmer,90,US,1632287665,82,42.1584,-72.3287,66.61,0.0
Evensk,100,RU,1632287666,92,61.95,159.2333,42.37,15.21
Kuito,24,AO,1632287666,30,-12.3833,16.9333,62.47,4.45
Sargatskoye,100,RU,1632287667,96,55.6101,73.4972,37.85,9.13
Maniitsoq,3,GL,1632287668,60,65.4167,-52.9,30.74,9.6
Sergeevka,21,KZ,1632287668,50,53.88,67.4158,47.01,10.83
Ponta Delgada,20,PT,1632287668,77,37.7333,-25.6667,68.72,5.75
Wahiawā,20,US,1632287394,74,21.5028,-158.0236,77.32,8.05
Boende,100,CD,1632287669,96,-0.2167,20.8667,69.62,2.01
Vestmannaeyjar,100,IS,1632287669,71,63.4427,-20.2734,44.94,18.86
Bambanglipuro,73,ID,1632287670,61,-7.95,110.2833,85.23,11.95
The Valley,12,AI,1632287671,77,18.217,-63.0578,84.06,14.32
Saint-Joseph,19,RE,1632287671,65,-21.3667,55.6167,73.78,5.01
Saint-François,90,FR,1632287671,100,46.4154,3.9054,44.47,2.3
Alugan,100,PH,1632287672,72,12.2188,125.4808,84.45,7.18
Lianhe,100,CN,1632287672,97,47.1333,129.2667,51.44,5.86
Dwārka,88,IN,1632287673,79,22.2394,68.9678,82.56,17.36
Honiara,35,SB,1632287673,75,-9.4333,159.95,83.34,1.45
La Santisima Trinidad,34,BO,1632287674,43,-14.8333,-64.9,81.57,8.84
Nakło nad Notecią,97,PL,1632287674,91,53.1421,17.6018,46.35,4.94
Nantucket,1,US,1632287675,86,41.2835,-70.0995,70.02,10.36
Muzhi,95,RU,1632287675,78,65.3667,64.6667,42.42,5.82
Kysyl-Syr,92,RU,1632287675,48,63.8986,122.7617,53.83,12.39
Kuyanovo,88,RU,1632287676,55,55.8014,54.5372,46.08,8.55
Mogwase,0,ZA,1632287676,74,-25.185,27.2665,55.72,9.84
Altay,0,CN,1632287677,25,47.8667,88.1167,50.22,5.59
Ulladulla,8,AU,1632287677,55,-35.35,150.4667,65.88,8.3
Mackay,7,AU,1632287678,41,-21.15,149.2,74.05,15.41
Petropavl,0,KZ,1632287678,70,54.8753,69.1628,42.78,8.95
